Sample_ID,Trio_ID,4-MP,2-OH-4MP,Leucine,2-OH-3MP,alloisoleucine,isoleucine,4-OH-PAA,4-OH-PPA,tyrosine,cholenoic acid,cholenoic acid blanked,Cholic acid,Cholic acid blanked
173,3,259,4548,805888,5795,12094,588992,3165,1592,18213,691,561,13424,12808
696,3,205530,21928,248608,6656,27192,86424,27839,8280,46495,130,0,4677,4061
877,3,44354,47128,941328,45920,79192,339072,16675,1683,109,1287,1157,7813,7197
163,4,130,26712,179820,14995,277,169610,4550,323,4778,188,58,188,1
692,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
870,4,221,9110,539694,6420,2728,312512,37074,9000,9475,284,154,284,1
26,5,255296,34764,451433,15814,5131,335100,3014,2347,117,85,0,2632,2016
174,5,397,1551,130472,2493,856,56032,2916,366,3262,336,206,306,1
694,5,31946,13236,12488,4370,1551,8335,1000,1129,1614,171,41,796,180
135,10,113,3415,125064,1809,246,36090,1368,209,6622,614,484,4848,4232
411,10,168,19216,412480,15681,778,169088,27932,5343,720516,1352,1222,8492,7876
697,10,44101,159936,8280832,95844,9238,1891483,11259,753,151950,4310,4180,6264,5648
181,11,5271,639,105766,341,1892,70008,3174,559,4464,1803,1673,1350,734
268,11,271,51480,642971,67874,1759,258752,44712,1817,16212,672,542,283194,282578
690,11,144660,37768,219923,77081,9080,106864,4703,956,3244,334,204,34236,33620
280,12,145,16544,39251,25053,660,12711,640,546,9019,NA,NA,3870,3254
703,12,69873,35848,171663,4098,3323,74152,3600,377,8019,267,137,2527,1911
790,12,3935,11842,37053,1635,636,16800,3511,5569,3487,220,90,1673,1057
300,13,3487,930,80552,668,1739,36296,5481,876,2256,588,458,982,366
546,13,868,27272,1589246,10061,4490,720749,9940,16752,373314,116,0,6439,5823
705,13,32903,12783,5510,8691,430,2359,2310,968,241,78,0,361,1
301,14,78,488,997425,257,200,624780,494,451,178222,198,68,19298,18682
710,14,616688,4381,81495,33112,6582,35471,166053,17354,1009,143,13,661,45
799,14,58900,7764,147087,6658,2113,101688,6010,7704,1104,91,0,797,181
229,15,107,472,2526814,182,200,1495921,1493,720,858944,143,13,14553,13937
482,15,364,60518,124144,35552,13114,40710,2135,515,10408,215,85,1136,520
706,15,183976,6317,54392,1490,6380,25896,13526,476766,669,74,0,476,1
319,16,1207,2748,38640,1323,286,19968,5338,22484,4954,386,256,1021,405
510,16,27736,6357,610996,8293,31656,361408,51179,4708,22621,217,87,573,1
708,16,28717,209280,3211456,224512,45392,1218560,19546,47456,49469,244,114,325649,325033
25,18,4820,24584,234880,21257,2327,115699,19235,3210,12638,120,0,2596,1980
178,18,78,47520,1463001,63109,572,830231,11683,653,3113,139,9,37023,36407
704,18,101404,7979,47209,6430,2889,26520,45572,2780,2102,58,0,89714,89098
255,19,8429,3066,573291,1164,8940,277760,15759,17418,123370,76,0,46633,46017
458,19,105,4149,260880,496,1365,107900,680,2975,13243,55,0,2100,1484
709,19,64028,33160,135006,27331,4788,44696,6651,4755,4330,67,0,6908,6292
337,21,69,519,148052,416,201,81614,368,432,40471,172,42,2613,1997
459,21,9731,12127,375056,3453,3662,218267,9769,2848,63893,50,0,269558,268942
707,21,42642,48530,370041,98474,6505,193216,48997,4552,51554,50,0,11486,10870
340,22,193,12730,189328,3009,4650,1276378,3154,4720,565331,3216,3086,28066,27450
499,22,198,5250,103428,1545,2036,71880,61968,1115,5989,38,0,160579,159963
691,22,45515,21885,81256,37576,7335,44818,32949,2757,6946,37,0,58874,58258
308,23,75,18744,7540,8250,197,3996,467,333,126643,1704,1574,2135,1519
712,23,86535,2025,18012,5291,938,8634,26718,4425,122,397,267,14151,13535
834,23,24848,15426,404352,11905,3735,193472,7740,15420,24287,4211,4081,485178,484562
303,24,147,6331,121344,3453,2049,72016,17828,7938,3881,61227,61097,946,330
648,24,1158,1637,108482,615,675,40750,9701,1789,1483,402,272,1136,520
713,24,468047,56635,651142,137860,40704,422526,212862,455038,11437,170,40,1769,1153
320,25,87,2758,601628,4648,496,365251,1390,708,683,1351,1221,389339,388723
439,25,121,21960,2247968,28057,200,715536,4926,1001,16657,6952,6822,23151,22535
715,25,70456,129568,298899,58095,18856,121478,5155,6767,2424,1609,1479,8326,7710
341,26,2822,72584,558619,76574,15242,280540,5698,1761,29406,691,561,150132,149516
534,26,2178,17464,43049,11670,1880,18484,10174,763,3235,494,364,1587,971
718,26,25359,62088,64130,46678,1519,22328,320187,15355,9893,382,252,933,317
324,27,97,711,10729,505,NA,NA,4151,1377,627,865,735,1178,562
359,27,307248,35808,172906,27630,26735,87632,90680,23560,169595,986,856,1138,522
719,27,5382,56417,184481,45824,4679,69137,2970,313,23654,204,74,1446,830
335,28,187,3752,266048,4314,802,179776,773,392,3151,113,0,17148,16532
